HUD frame time nsec:,109641000

Range Index,Elapsed Time, First Event,Last Event
1114,62784,7807,7807
1115,67936,7814,7814
1116,63584,7821,7821
1117,65824,7828,7828
1118,65408,7835,7835
1119,64096,7842,7842
1120,67936,7849,7849
1121,62432,7856,7856
1122,69504,7863,7863
1123,62304,7870,7870
1124,69280,7877,7877
1125,62912,7884,7884
1126,67872,7891,7891
1127,64032,7898,7898
1128,65632,7905,7905
1129,65376,7912,7912
1130,64032,7919,7919
1131,67904,7926,7926
1132,62432,7933,7933
1133,69664,7940,7940
1134,62208,7947,7947
1135,69472,7954,7954
1136,62720,7961,7961
1137,68032,7968,7968
1138,63456,7975,7975
1139,65376,7982,7982
1140,65536,7989,7989
1141,63968,7996,7996
1142,67936,8003,8003
1143,62432,8010,8010
1144,69664,8017,8017
1145,62048,8024,8024
1146,69504,8031,8031
1147,62688,8038,8038
1148,67840,8045,8045
1149,64256,8052,8052
1150,65344,8059,8059
1151,63104,8066,8066
1152,68960,8073,8073
1153,62880,8080,8080
1154,67776,8087,8087
1155,64512,8094,8094
1156,65152,8101,8101
1157,65600,8108,8108
1158,64192,8115,8115
1159,68192,8122,8122
1160,62496,8129,8129
1161,69504,8136,8136
1162,61920,8143,8143
1163,69856,8150,8150
1164,62400,8157,8157
1165,68224,8164,8164
1166,64096,8171,8171
1167,65632,8178,8178
1168,65472,8185,8185
1169,64160,8192,8192
1170,67808,8199,8199
1171,62688,8206,8206
1172,69440,8213,8213
1173,62368,8220,8220
1174,69376,8227,8227
1175,63104,8234,8234
1176,67520,8241,8241
1177,64256,8248,8248
1178,65472,8255,8255
1179,65536,8262,8262
1180,64224,8269,8269
1181,67936,8276,8276
1182,62496,8283,8283
1183,69696,8290,8290
1184,62368,8297,8297
1185,69408,8304,8304
1186,62720,8311,8311
1187,67904,8318,8318
1188,64224,8325,8325
1189,65568,8332,8332
1190,65440,8339,8339
1191,63648,8346,8346
1192,68096,8353,8353
1193,62528,8360,8360
1194,69536,8367,8367
1195,62208,8374,8374
1196,69568,8381,8381
1197,62720,8388,8388
1198,67904,8395,8395
1199,64160,8402,8402
1200,65600,8409,8409
1201,62592,8416,8416
1202,69344,8423,8423
1203,62560,8430,8430
1204,67840,8437,8437
1205,64352,8444,8444
1206,65184,8451,8451
1207,65600,8458,8458
1208,64256,8465,8465
1209,67584,8472,8472
1210,62400,8479,8479
1211,69440,8486,8486
1212,62016,8493,8493
1213,69472,8500,8500
1214,62912,8507,8507
1215,67712,8514,8514
1216,64000,8521,8521
1217,65824,8528,8528
1218,65216,8535,8535
1219,64160,8542,8542
1220,67776,8549,8549
1221,62560,8556,8556
1222,69664,8563,8563
1223,62272,8570,8570
1224,69504,8577,8577
1225,62496,8584,8584
1226,67840,8591,8591
1227,64000,8598,8598
1228,65344,8605,8605
1229,65696,8612,8612
1230,63840,8619,8619
1231,68192,8626,8626
1232,62464,8633,8633
1233,69568,8640,8640
1234,62176,8647,8647
1235,69568,8654,8654
1236,62560,8661,8661
1237,67680,8668,8668
1238,64352,8675,8675
1239,65280,8682,8682
1240,65888,8689,8689
1241,63328,8696,8696
1242,67936,8703,8703
1243,62432,8710,8710
1244,69568,8717,8717
1245,62144,8724,8724
1246,69504,8731,8731
1247,62688,8738,8738
1248,67904,8745,8745
1249,63776,8752,8752
1250,65408,8759,8759
1251,63040,8766,8766
1252,69152,8773,8773
1253,62208,8780,8780
1254,67968,8787,8787
